Situation,Location,Date Reported,Incident/Case#,Date Occured,Time Occured,Summary,Disposition
"Security Alarm
","Joan & Irwin Jacobs La Jolla Playhouse
","3/31/2024
","2403310003
","3/31/2024
","12:28 AM
","Male seen inside construction site
","Unable to Locate
"
"Medical Aid
","Oceanview Terrace
","3/31/2024
","2403310009
","3/31/2024
","1:51 AM
","Adult female accidentally got locked inside freezer
","Referred to Other Agency - San Diego Fire Department
"
"Attempt to Contact
","Harlan Hall
","3/31/2024
","2403310015
","3/31/2024
","7:10 AM
","Parent unable to get ahold of student
","Checks OK
"
"Medical Aid
","Rue Michael
","3/31/2024
","2403310018
","3/31/2024
","9:01 AM
","Medical transport
","Referred to Other Agency - San Diego Fire Department
"
"Petty Theft - Micro Mobility Theft
","Design & Innovation Building
","3/31/2024
","2024-0646
","3/31/2024
","11:30 AM - 12:30 PM
","Secured electric scooter stolen, loss $300.00
","Report Taken
"
"Fire Alarm
","Cala
","3/31/2024
","2403310028
","3/31/2024
","1:32 PM
",,"False Alarm
"
"Citizen Assist
","Parking Lot P101
","3/31/2024
","2024-0647
","3/31/2024
","2:39 PM
","Disabled motorist, tow request
","Service Provided
"
"Incomplete/Accidental Landline 911 Call
","UC San Diego
","3/31/2024
","2403310035
","3/31/2024
","3:24 PM
",,"Logged Event
"
"Information
","ACTRI
","3/31/2024
","2403310043
","3/31/2024
","8:20 PM
","Request to speak with Facilities Management regarding yellow caution tape at front door of
","Referred to Other UCSD Department - Central Plant
"
"Non Injury Collision
","Parking Lot P504
","3/31/2024
","2403310044
","3/31/2024
","8:42 PM
",,"Service Provided
"
"Throwing Objects at Moving Vehicle
","Health Sciences/Revelle Footbridge
","3/31/2024
","2403310045
","3/31/2024
","9:17 PM
","Unknown suspect(s) threw egg at reporting party's vehicle
","Service Provided
"
"Suspicious Vehicle
","Wind Haven/Half Mile
","3/31/2024
","2403310047
","3/31/2024
","9:31 PM
",,"Referred to Other Agency - San Diego Police Department
"
"Medical Aid
","Africa Hall
","3/31/2024
","2403310048
","3/31/2024
","9:32 PM
","Young adult female having allergic reaction
","Referred to Other Agency - San Diego Fire Department
"
"Trespass
","Trolley - La Jolla Health Station
","3/31/2024
","2403310052
","3/31/2024
","10:16 PM
","Reporting party at location to lock restrooms, subject inside refusing to come out
","Checks OK
"
"Citizen Contact
","Cala
","3/31/2024
","2403310054
","3/31/2024
","10:32 PM
","Subject in pool after hours
","Will Cooperate
"
"Suspicious Person
","Neighborhood - Revelle
","3/31/2024
","2403310057
","3/31/2024
","11:05 PM
","Male yelling and screaming
","Will Cooperate
"
"Medical Aid
","Argo Hall
","3/31/2024
","2403310058
","3/31/2024
","11:09 PM
","Young adult male having asthma attack, no inhaler
","Referred to Other Agency - San Diego Fire Department
"
"Disturbance - Party
","Mesa Apartments South - Laundry Room
","3/25/2024
","2403250003
","3/25/2024
","1:22 AM
",,"Referred to Student Conduct
"
"Information
","Genesee Avenue
","3/25/2024
","2403250004
","3/25/2024
","2:02 AM
","Caller with complaint of service at Scripps Hospital
","Referred to Other Agency - Scripps Hospital
"
"Medical Aid
","Costa Verde Boulevard
","3/25/2024
","2403250005
","3/25/2024
","3:02 AM
","Adult female with chest pains
","Referred to Other Agency - San Diego Fire Department
"
"Security Alarm
","North Torrey Pines Road/Theatre District D
","3/25/2024
","2403250007
","3/25/2024
","5:01 AM
","Per Security Dispatch, subject seen on video jumping into fenced construction site
","Unable to Locate
"
"Citizen Contact
","UCSD Police Department
","3/25/2024
","2403250009
","3/25/2024
","5:24 AM
","Citizen in lobby requesting to speak with officer regarding Police Officer Association
","Service Provided
"
"Security Alarm
","Campus Curbside Pickup
","3/25/2024
","240250012
","3/25/2024
","6:14 AM
",,"Cancelled
"
"Fire Alarm
","Seventh College West #1
","3/25/2024
","2403250017
","3/25/2024
","8:32 AM
",,"False Alarm
"
"Information Report
","UCSD Department of Psychiatry
","3/25/2024
","2024-0626
","September 2023 - February 2024
","Unknown
","Non-affiliate sent email to faculty member, stating they would possibly contact reporting party
","Report Taken
"
"Incomplete/Accidental Wireless 911 Call
","Genesee Avenue
","3/25/2024
","2403250021
","3/25/2024
","9:33 AM
",,"Logged Event
"
"Fire Alarm
","Seventh College West #1
","3/25/2024
","2403250023
","3/25/2024
","10:10 AM
","No smoke or fire, related to previous false fire alarm
","Referred to Other UCSD Department - Housing Maintenance
"
"Medical Aid
","Nobel Drive
","3/25/2024
","2403250024
","3/25/2024
","10:30 AM
","Medical Transport
","Referred to Other Agency - San Diego Fire Department
"
"Fire Alarm
","Kaleidoscope
","3/25/2024
","2403250027
","3/25/2024
","12:10
",,"False Alarm
"
"Hazard Situation
","Torrey Pines Gliderport
","3/25/2024
","2403250028
","3/25/2024
","1:25 PM
","Dog fell off cliff into cave
","Referred to Other Agency - San Diego Life Guards
"
"Medical Aid
","Koman Family Outpatient
","3/25/2024
","2403250029
","3/25/2024
","1:48 PM
","Male collapsed
","Referred to Other Agency - San Diego Fire Department
"
"Incomplete/Accidental Wireless 911 Call
","South Scholars
","3/25/2024
","2403250032
","3/25/2024
","2:12 PM
",,"Logged Event
"
"Non Injury Collision
","UC San Diego Health Urgent Care
","3/25/2024
","2403250034
","3/25/2024
","3:47 PM
",,"Service Provided
"
"Hit & Run Collision: Non Injury
","Parking Lot P017
","3/25/2024
","2024-0627
","3/25/2024
","3:00 PM - 4:45 PM
",,"Report Taken
"
"Gas/Water/Sewer Leak
","Mayer Hall
","3/25/2024
","2403250040
","3/25/2024
","5:06 PM
","Reporting party advised he heard a loud bang possibly a circuit breaker, followed by strange
","Referred to Other UCSD Department - Central Plant
"
"Extortion
","Regents Park Row
","3/25/2024
","2403250044
","3/25/2024
","5:56 PM
",,"Referred to Other Agency - San Diego Police Department
"
"Suspicious Person
","Trolley - Central Campus Station
","3/25/2024
","2403250045
","3/25/2024
","6:15 PM
","Per University Security Official, subject was camped out inside restroom
","Unable to Locate
"
"Weapons Law Violation Arrest/ Drug Law Violation Arrest
","Trolley - Central Campus Station
","3/25/2024
","2024-0628
","3/25/2024
","6:26 PM
","Non-affiliate female contacted following a report of suspicious person and activity witnessed by
","Closed By Adult Arrest
"
"Suspicious Person
","Trolley - Central Campus Station
","3/25/2024
","2403250049
","3/25/2024
","7:29 PM
","Non-affiliate male with sleeping bag
","Will Cooperate
"
"Medical Aid
","La Jolla Del Sol Apartments
","3/25/2024
","2403250051
","3/25/2024
","8:01 PM
","Regarding previous emergency room visit
","Referred to Other Agency - San Diego Fire Department
"
"Fire Alarm
","Tdlln - Pomedos
","3/25/2024
","2403250054
","3/25/2024
","8:47 PM
",,"False Alarm
"
"Incomplete/Accidental Wireless 911 Call
","La Jolla Village Drive
","3/25/2024
","2403250055
","3/25/2024
","9:25 PM
",,"Logged Event
"
"Vandalism
","UCSD Medical Center - Hillcrest
","3/25/2024
","HC24-03-24-0274
","3/24/2024
","11:18 AM
","Disturbed patient refusing to go back inside broke a chair
","Hospital Incident Report Taken
"
"Weapons Law Arrest/ Obstruct: Resist Peace Officer
","Trolley ‐ Central Campus Station
","2/14/2024
","2024‐0332
","2/14/2024
","12:28 AM
","Male non‐affiliate contacted for being on campus past curfew hours and found in possession of
","Closed by Adult Arrest
"
"Security Alarm
","Powell‐Focht Bioengineering Hall
","2/14/2024
","2402140006
","2/14/2024
","1:22 AM
",,"False Alarm
"
"Noise Disturbance
","Costa Verde Blvd
","2/14/2024
","2402140007
","2/14/2024
","1:28 AM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Incomplete/ Accidental Wireless 911 Call
","Redwood Drive
","2/14/2024
","2402140016
","2/14/2024
","6:06 AM
",,"Logged Event
"
"Chemical Spill
","Sverdrup Hall
","2/14/2024
","2402140019
","2/14/2024
","6:45 AM
","Unknown chemical coming from underneath the refrigerator
","Referred to Other UCSD Department ‐ Environmental Health and Safety
"
"Medical Aid
","Shiley Eye Institute
","2/14/2024
","2402140026
","2/14/2024
","8:22 AM
","Ambulance requested for patient transport
","Referred to Other Agency ‐ San Diego Fire Department
"
"Incomplete/ Accidental Landline 911 Call
","Kaleidoscope
","2/14/2024
","2402140027
","2/14/2024
","8:32 AM
",,"Logged Event
"
"Incomplete/ Accidental Landline 911 Call
","North Torrey Pines Court
","2/14/2024
","2402140028
","2/14/2024
","8:37 AM
",,"Logged Event
"
"Incomplete/ Accidental Landline 911 Call
","Astilla
","2/14/2024
","2402140032
","2/14/2024
","9:28 AM
",,"Logged Event
"
"Incomplete/ Accidental Landline 911 Call
","Gilman Drive
","2/14/2024
","2402140034
","2/14/2024
","9:54 AM
",,"Logged Event
"
"Incomplete/ Accidental Landline 911 Call
","UC San Diego
","2/14/2024
","2402140037
","2/14/2024
","10:27 AM
",,"Logged Event
"
"Incomplete/ Accidental Landline 911 Call
","Muir Lane
","2/14/2024
","2402140040
","2/14/2024
","10:50 AM
",,"Logged Event
"
"Traffic Hazard
","Voigt Dip
","2/14/2024
","2402140041
","2/14/2024
","11:23 AM
","Vehicle blocking intersection
","Gone On Arrival
"
"Marijuana Contact
","Seventh College East
","2/14/2024
","2024‐0333
","2/14/2024
","11:30 AM
","Student smoking marijuana, Resident Advisor requesting contact and destruction of marijuana
","Report Taken
"
"Traffic Hazard
","Interstate 5 Ramp/ Genesee Avenue
","2/14/2024
","2402140045
","2/14/2024
","11:49 AM
","Ladder in the middle of the freeway
","Referred to Other Agency ‐ California Highway Patrol
"
"Citizen Contact
","UC an Diego
","2/14/2024
","2402140047
","2/14/2024
","12:07 PM
","Staff member requesting information regarding solicitation vs. religious individuals promoting
","Service Provided
"
"Disturbance
","Trolley ‐ Central Campus Station
","2/14/2024
","2402140048
","2/14/2024
","12:11 PM
","Non‐affiliate refusing to get off bus
","Cancelled
"
"Incomplete/ Accidental Landline 911 Call
","Gilman Drive
","2/14/2024
","2402140053
","2/14/2024
","12:42 PM
",,"Logged Event
"
"Campus Security Authority Report
","Alvarado Hospital Medical Center
","2/14/2024
","2024‐0334
","2/5/2024 ‐ 2/10/2024
","1:20 PM ‐ 1:20 PM
","Patient reported being digitally penetrated by male nurse
","Information Only
"
"Welfare Check
","La Jolla Village Drive/ Villa la Jolla Drive
","2/14/2024
","2402140054
","2/14/2024
","1:46 PM
","Male in middle of roadway
","Referred to Other Agency ‐ San Diego Police Department
"
"Information
","La Jolla Village Drive
","2/14/2024
","2402140056
","2/14/2024
","2:27 PM
","Adult male pouring water onto windshields
","Information Only
"
"Incomplete/ Accidental Landline 911 Call
","Pepper Canyon Apartments
","2/14/2024
","2402140057
","2/14/2024
","3:18 PM
",,"Logged Event
"
"Citizen Contact
","Scholars Drive South/ Muir Lane
","2/14/2024
","2402140061
","2/14/2024
","3:28 PM
",,"Referred to UCSD Department ‐ Parking
"
"Unknown Injury Collision
","La Jolla Scenic Drive
","2/14/2024
","2402140062
","2/14/2024
","3:39 PM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Medical Aid
","Seventh College West
","2/14/2024
","2402140064
","2/14/2024
","4:03 PM
","Female having allergic reaction
","Referred to Other Agency ‐ San Diego Fire Department
"
"Petty Theft
","Mandeville Center
","2/14/2024
","2024‐0335
","2/14/2024
","3:50 PM
",,"Unfounded
"
"Medical Aid
","Koman Family Outpatient Pavilion
","2/14/2024
","2402140067
","2/14/2024
","4:27 PM
","Patient passed out
","Referred to Other Agency ‐ San Diego Fire Department
"
"Disturbance
","Information Center North Point Entrance
","2/14/2024
","2402140068
","2/14/2024
","4:29 PM
","Five trick skaters
","Will Cooperate
"
"Petty Theft
","Student Services Center
","2/14/2024
","2402140070
","2/14/2024
","4:39 PM
","Department issued laptop not returned by terminated employee
","Service Provided
"
"Hit and Run Collision ‐ Non Injury
","La Jolla Village Drive/ Gilman Drive
","2/14/2024
","2402140071
","2/14/2024
","5:01 PM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Incomplete/ Accidental Wireless 911 Call
","Mandeville Lane
","2/14/2024
","2402140072
","2/14/2024
","5:16 PM
",,"Logged Event
"
"Non Injury Collision
","Interstate 5/ La Jolla Village Drive
","2/14/2024
","2402140073
","2/14/2024
","5:21 PM
",,"Referred to Other Agency ‐ California Highway Patrol
"
"Petty Theft
","Triton Track & Field Stadium
","2/14/2024
","2024‐0336
","2/14/2024
","4:15 PM ‐ 5:00 PM
","Victim's unattended gym bag and athletic shoes stolen, loss $160.00
","Report Taken
"
"Incomplete/ Accidental Wireless 911 Call
","Main GYM
","2/14/2024
","2402140076
","2/14/2024
","6:22 PM
",,"Logged Event
"
"Suspicious Person
","Mathews Apartments
","2/14/2024
","2024‐0337
","2/14/2024
","6:32 PM
","Adult male carrying blanket, ""creeping students out""
","Field Interview
"
"Suspicious Person
","Thornton Pavilion
","2/14/2024
","2402140078
","2/14/2024
","6:34 PM
","Patient left hospital against medical advice, walking down street in hospital gown, exposing
","Unable to Locate
"
"Reckless Driving
","Interstate 5/ Interstate 56
","2/14/2024
","2402140079
","2/14/2024
","6:44 PM
",,"Referred to Other Agency ‐ California Highway Patrol
"
"Traffic Hazard
","La Jolla Village Drive/ Regents Rd
","2/14/2024
","2402140082
","2/14/2024
","7:26 PM
","Vehicle broken down and waiting for a tow
","Referred to Other Agency ‐ San Diego Police Department
"
"Welfare Check
","La Jolla Village Drive/ Gilman Drive
","2/14/2024
","2402140087
","2/14/2024
","9:04 PM
","Male on ground
","Referred to Other Agency ‐ San Diego Police Department
"
"Fire Alarm
","Sheila & Hughes Potiker Theater
","2/14/2024
","2402140089
","2/14/2024
","9:14 PM
",,"False Alarm
"
"Preserve the Peace
","Price Center Plaza
","2/14/2024
","2024‐0339
","2/14/2024
","10:01 PM ‐ 10:46 PM
","Non‐affiliate being served 2 year order to expel from Price Center and Student Center Facilities
","Service Provided
"
"Marijuana Contact
","Charles David Keeling
","2/14/2024
","2402140092
","2/14/2024
","10:20 PM
","Odor of marijuana
","Unable to Locate
"
"Suspicious Person
","64 Degrees
","2/14/2024
","2402140093
","2/14/2024
","10:30 PM
","Subject casing bicycles
","Unable to Locate
"
"Quiet Hours Contact
","Neighborhood ‐ NTPLL (Basketball Court)
","2/14/2024
","2402140094
","2/14/2024
","10:37 PM
",,"Will Cooperate
"
"Fire Alarm
","Voigt Drive
","2/14/2024
","2402140095
","2/14/2024
","10:43 PM
",,"False Alarm
"
"Noise Disturbance
","Earth Hall
","2/14/2024
","2402140099
","2/14/2024
","11:21 PM
","Loud guests
","Referred to Student Conduct
"
"Noise Disturbance
","Douglas Apartments
","2/14/2024
","2402140102
","2/14/2024
","11:46 PM
","Loud talking and yelling
","Referred to Student Conduct
"
"Welfare Check
","Trolley ‐ La Jolla Health Station
","2/14/2024
","2402140103
","2/14/2024
","11:53 PM
","Subject refusing to leave restroom
","Field Interview
"
"Noise Disturbance
","Blake Hall
","2/9/2024
","2402090003
","2/9/2024
","12:58 AM
","Group being loud and laughing
","Quiet on Arrival
"
"Security Alarm
","Otterson Hall
","2/9/2024
","2402090004
","2/9/2024
","1:24 AM
",,"Checks OK
"
"Quiet Hours Contact
","Stewart Hall
","2/9/2024
","2402090005
","2/9/2024
","1:39 AM
",,"Will Cooperate
"
"Security Alarm
","Otterson Hall
","2/9/2024
","2402090007
","2/9/2024
","1:56 AM
",,"Cancelled
"
"Suspicious Person
","One Miramar Street, Building 1
","2/9/2024
","2402090013
","2/9/2024
","4:27 AM
",,"Checks OK
"
"Drug Law Arrest
","Trolley ‐ Central Campus Station
","2/9/2024
","2024‐0294
","2/9/2024
","5:24 AM
","Officer contacted known non‐affiliate for being on campus during curfew hours
","Closed By Citation, Adult
"
"Security Alarm
","Otterson Hall
","2/9/2024
","2402090019
","2/9/2024
","6:44 AM
",,"Cancelled
"
"Disorderly Conduct: Public Intoxication
","Israni Biomedical Research Facility
","2/9/2024
","2024‐0295
","2/9/2024
","7:03 AM
","Non‐affiliate male contacted after report of sleeper inside lobby of building
","Closed By Adult Arrest
"
"Signal Light Malfunction
","Genesee Avenue/ Science Center Drive
","2/9/2024
","2402090022
","2/9/2024
","7:29 AM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Incomplete/Accidental Landline 911 Call
","South Parking Structure
","2/9/2024
","2402090023
","2/9/2024
","7:48 AM
",,"Logged Event
"
"Security Alarm
","Jacobs Hall
","2/9/2024
","2402090025
","2/9/2024
","8:00 AM
",,"Cancelled
"
"Suspicious Circumstances
","Pepper Canyon Apartments 1100
","2/9/2024
","2402090027
","2/9/2024
","8:10 AM
","Reporting party concerned for roommate who's ex‐boyfriend has sent multiple text message
","Service Provided
"
"Collision with Injury
","Gilman Drive/ Villa La Jolla Drive
","2/9/2024
","2024‐0296
","2/9/2024
","8:40 AM
","UC Shuttle bus vs. Privately Owned Vehicle
","Report Taken
"
"Incomplete/Accidental Landline 911 Call
","Tapestry
","2/9/20243
","2402090031
","2/9/2024
","9:57 AM
",,"Logged Event
"
"Suspicious Circumstances
","Financial Aid Office
","2/9/2024
","2402090036
","2/9/2024
","10:16 AM
","Letter received by unknown person, with statements expressing support of Russia in the
","Report Taken
"
